clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr;phr9#;phr9_txt;phr9_function;phr9_corr
427700;935;Genesis 2:14;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=2&verse=14&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";HLK ;qal;650856;H ;Rela;;650857;HLK ;PreC;;650858;QDMT >CWR ;Cmpl;
427779;1321;Genesis 3:8;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=3&verse=8&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";MTHLK ;hit;651094;MTHLK ;PreC;;651095;B  GN ;Cmpl;;651096;L RWX H JWM ;Time;
427808;1449;Genesis 3:14;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=3&verse=14&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";TLK ;qal;651173;<L GXNK ;Cmpl;;651174;TLK ;Pred;
428004;2424;Genesis 5:22;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=5&verse=22&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";JTHLK ;hit;651779;W ;Conj;;651780;JTHLK ;Pred;;651781;XNWK ;Subj;;651782;>T H >LHJM ;Cmpl;;651785;CLC M>WT CNH ;Time;
428008;2455;Genesis 5:24;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=5&verse=24&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";JTHLK ;hit;651793;W ;Conj;;651794;JTHLK ;Pred;;651795;XNWK ;Subj;;651796;>T H >LHJM ;Cmpl;
428064;2781;Genesis 6:9;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=9&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";HTHLK ;hit;651972;>T H >LHJM ;Cmpl;;651973;HTHLK ;Pred;;651974;NX ;Subj;
428151;3407;Genesis 7:18;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=7&verse=18&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";TLK ;qal;652260;W ;Conj;;652261;TLK ;Pred;;652262;H TBH ;Subj;;652263;<L PNJ H MJM ;Cmpl;
428175;3598;Genesis 8:3;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=3&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";* HLWK ;qal;652342;W ;Conj;;652343;* JCBW ;Pred;;652344;H MJM ;Subj;;652345;M <L H >RY ;Cmpl;;652346;HLWK W CWB ;Modi;
428178;3634;Genesis 8:5;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=5&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";HLWK ;qal;652357;W ;Conj;;652358;H MJM ;Subj;;652359;HJW ;Pred;;652360;HLWK W XSWR ;PreC;;652361;<D H XDC H <FJRJ ;Time;
428309;4451;Genesis 9:23;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=9&verse=23&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";JLKW ;qal;652767;W ;Conj;;652768;JLKW ;Pred;;652769;>XRNJT ;Cmpl;
428473;5460;Genesis 11:31;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=11&verse=31&version=4&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";LKT ;qal;653291;L LKT ;Pred;;653292;>RYH KN<N ;Cmpl;
