clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
426745;935;Genesis 2:14;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=2&verse=14&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";HLK ;qal;605655;H ;Rela;;605656;HLK ;PreC;;605657;QDMT >CWR ;Cmpl;
426824;1321;Genesis 3:8;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=3&verse=8&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";MTHLK ;hit;605893;MTHLK ;PreC;;605894;B  GN ;Cmpl;;605895;L RWX H JWM ;Time;
426853;1449;Genesis 3:14;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=3&verse=14&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";TLK ;qal;605972;<L GXNK ;Cmpl;;605973;TLK ;Pred;
427049;2424;Genesis 5:22;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=5&verse=22&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";JTHLK ;hit;606578;W ;Conj;;606579;JTHLK ;Pred;;606580;XNWK ;Subj;;606581;>T H >LHJM ;Cmpl;;606584;CLC M>WT CNH ;Time;
427053;2455;Genesis 5:24;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=5&verse=24&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";JTHLK ;hit;606592;W ;Conj;;606593;JTHLK ;Pred;;606594;XNWK ;Subj;;606595;>T H >LHJM ;Cmpl;
427109;2781;Genesis 6:9;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=9&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";HTHLK ;hit;606771;>T H >LHJM ;Cmpl;;606772;HTHLK ;Pred;;606773;NX ;Subj;
427196;3407;Genesis 7:18;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=7&verse=18&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";TLK ;qal;607059;W ;Conj;;607060;TLK ;Pred;;607061;H TBH ;Subj;;607062;<L PNJ H MJM ;Cmpl;
427220;3598;Genesis 8:3;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=3&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";* HLWK ;qal;607140;W ;Conj;;607141;* JCBW ;Pred;;607142;H MJM ;Subj;;607143;M <L H >RY ;Cmpl;;607144;HLWK W CWB ;Modi;
427223;3634;Genesis 8:5;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=5&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";HLWK ;qal;607155;W ;Conj;;607156;H MJM ;Subj;;607157;HJW ;Pred;;607158;HLWK W XSWR ;PreC;;607159;<D H XDC H <FJRJ ;Time;
427354;4451;Genesis 9:23;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=9&verse=23&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";JLKW ;qal;607565;W ;Conj;;607566;JLKW ;Pred;;607567;>XRNJT ;Cmpl;
427521;5460;Genesis 11:31;"=HYPERLINK(""https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=11&verse=31&version=4b&mr=m&qw=n&tp=txt_tb1&tr=hb&wget=x&qget=v&nget=x""; ""link"")";LKT ;qal;608089;L LKT ;Pred;;608090;>RYH KN<N ;Cmpl;
