clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
428891;12042;Genesis 24:47;link;>#M ;qal;612225;W;Conj;;612226;>#M ;Pred;;612227;HNZM ;Objc;;612228;<L&>PH ;Cmpl;;;;;;;;;;;;;
429410;14286;Genesis 27:37;link;#MTJW ;qal;613735;HN ;Intj;;613736;GBJR ;Objc;;613737;#MTJW ;PreO;;613738;LK ;Cmpl;Adju;;;;;;;;;;;;
429499;14695;Genesis 28:11;link;J#M ;qal;614004;W;Conj;;614005;J#M ;Pred;;614006;MR>#TJW ;Cmpl;Objc;;;;;;;;;;;;;;;;
429535;14856;Genesis 28:18;link;#M ;qal;614112;>#R&;Rela;;614113;#M ;Pred;;614114;MR>#TJW ;Cmpl;Objc;;;;;;;;;;;;;;;;
429536;14859;Genesis 28:18;link;J#M ;qal;614115;W;Conj;;614116;J#M ;Pred;;614117;>TH ;Objc;;614118;MYBH ;Objc;;;;;;;;;;;;;
429551;14934;Genesis 28:22;link;#MTJ ;qal;614164;>#R&;Rela;;614165;#MTJ ;Pred;;614166;MYBH ;Objc;;;;;;;;;;;;;;;;;
429838;16200;Genesis 30:36;link;J#M ;qal;615071;W;Conj;;615072;J#M ;Pred;;615073;DRK #L#T JMJM ;Objc;;615074;BJNW WBJN J<QB ;Cmpl;;;;;;;;;;;;;
429860;16324;Genesis 30:41;link;#M ;qal;615139;W;Conj;;615140;#M ;Pred;;615141;J<QB ;Subj;;615142;>T&HMQLWT ;Objc;;615143;L<JNJ HY>N ;Cmpl;;615144;BRHVJM ;Loca;Cmpl;;;;
429862;16347;Genesis 30:42;link;J#JM ;qal;615147;W;Conj;;615150;L> ;Nega;;615151;J#JM ;Pred;;;;;;;;;;;;;;;;;
429951;16755;Genesis 31:21;link;J#M ;qal;615420;W;Conj;;615421;J#M ;Pred;;615422;>T&PNJW ;Objc;;615423;HR HGL<D00;Cmpl;;;;;;;;;;;;;
430004;17007;Genesis 31:34;link;T#MM ;qal;615584;W;Conj;;615585;T#MM ;PreO;;615586;BKR HGML ;Cmpl;;;;;;;;;;;;;;;;;
430024;17086;Genesis 31:37;link;#JM ;qal;615642;#JM ;Pred;;615643;KH ;Modi;;615644;NGD >XJ W>XJK ;Cmpl;;;;;;;;;;;;;;;;;
430148;17684;Genesis 32:13;link;#MTJ ;qal;616018;W;Conj;;616019;#MTJ ;Pred;;616020;>T&ZR<K ;Objc;;616021;KXWL HJM ;Cmpl;;;;;;;;;;;;;
430158;17758;Genesis 32:17;link;T#JMW ;qal;616048;W;Conj;;616049;RWX ;Objc;;616050;T#JMW ;Pred;;616051;BJN <DR WBJN <DR00;Cmpl;;;;;;;;;;;;;
430236;18104;Genesis 33:2;link;J#M ;qal;616269;W;Conj;;616270;J#M ;Pred;;616271;>T&H#PXWT W>T&JLDJHN ;Objc;;616272;R>#NH ;Cmpl;;;;;;;;;;;;;
