clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
499144;346137;Job 40:4;link;#MTJ ;qal;814341;JDJ ;Objc;;814342;#MTJ ;Pred;;814343;LMW&PJ00;Cmpl;;;;;;;;;;;;;;;;;
499196;346328;Job 40:26;link;T#JM ;qal;814487;H;Ques;;814488;T#JM ;Pred;;814489;>GMWN ;Objc;;814490;B>PW ;Cmpl;;;;;;;;;;;;;
499208;346379;Job 40:32;link;#JM&;qal;814528;#JM&;Pred;;814529;<LJW ;Cmpl;;814530;KPK ;Objc;;;;;;;;;;;;;;;;;
499266;346574;Job 41:23;link;J#JM ;qal;814667;JM ;Objc;;814668;J#JM ;Pred;;814669;KMRQXH00;Cmpl;;;;;;;;;;;;;;;;;
499908;349079;Proverbs 8:29;link;#WMW ;qal;816387;B#WMW ;PreS;;816388;LJM ;Cmpl;Adju;816389;XQW ;Objc;;;;;;;;;;;;;;;;;
500962;352994;Proverbs 23:2;link;#MT ;qal;819118;W;Conj;;819119;#MT ;Pred;;819120;#KJN ;Objc;;819121;BL<K ;Cmpl;;;;;;;;;;;;;
501620;355408;Proverbs 30:26;link;J#JMW ;qal;820814;W;Conj;;820815;J#JMW ;Pred;;820816;BSL< ;Cmpl;;820817;BJTM00;Objc;;;;;;;;;;;;;
501984;356794;Ruth 3:3;link;#MT ;qal;821810;W;Conj;;821811;#MT ;Pred;;821812;#MLTJK ;Objc;;821813;<LJK ;Cmpl;;;;;;;;;;;;;
502211;357649;Song_of_songs 1:6;link;#MNJ ;qal;822429;#MNJ ;PreO;;;;;;;;;;;;;;;;;;;;;;;;;
502533;358838;Song_of_songs 6:12;link;#MTNJ ;qal;823165;NP#J ;Subj;;823166;#MTNJ ;PreO;;823167;MRKBWT <MJ&NDJB00;Cmpl;;;;;;;;;;;;;;;;;
502607;359107;Song_of_songs 8:6;link;#JMNJ ;qal;823330;#JMNJ ;PreO;;823331;KXWTM ;Adju;Cmpl;823332;<L&LBK ;Cmpl;;;;;;;;;;;;;;;;;
503910;364519;Lamentations 3:11;link;#MNJ ;qal;826859;#MNJ ;PreO;;826860;#MM00;Objc;;;;;;;;;;;;;;;;;;;;;
503979;364779;Lamentations 3:45;link;T#JMNW ;qal;827035;SXJ WM>WS ;Objc;;827036;T#JMNW ;PreO;;827037;BQRB H<MJM00;Adju;Cmpl;;;;;;;;;;;;;;;;
504308;366494;Esther 2:17;link;J#M ;qal;827954;W;Conj;;827955;J#M ;Pred;;827956;KTR&MLKWT ;Objc;;827957;BR>#H ;Cmpl;;;;;;;;;;;;;
504332;366660;Esther 3:1;link;J#M ;qal;828040;W;Conj;;828041;J#M ;Pred;;828042;>T&KS>W ;Objc;;828043;M<L KL&H#RJM ;Cmpl;;;;;;;;;;;;;
504697;368655;Esther 8:2;link;T#M ;qal;829150;W;Conj;;829151;T#M ;Pred;;829152;>STR ;Subj;;829153;>T&MRDKJ ;Objc;;829154;<L&BJT HMN00;Cmpl;;;;;;;;;
504890;369993;Esther 10:1;link;J#M ;qal;829748;W;Conj;;829749;J#M ;Pred;;829750;HMLK >X#WRW# ;Subj;;829751;MS ;Objc;;829752;<L&H>RY W>JJ HJM00;Cmpl;;;;;;;;;
504920;370209;Daniel 1:7;link;J#M ;qal;829845;W;Conj;;829846;J#M ;Pred;;829847;LHM ;Cmpl;Adju;829848;#R HSRJSJM ;Subj;;829849;#MWT ;Objc;;;;;;;;;
504921;370216;Daniel 1:7;link;J#M ;qal;829850;W;Conj;;829851;J#M ;Pred;;829852;LDNJ>L ;Cmpl;Adju;829853;BLV#>YR ;Objc;;;;;;;;;;;;;
504925;370233;Daniel 1:8;link;J#M ;qal;829863;W;Conj;;829864;J#M ;Pred;;829865;DNJ>L ;Subj;;829866;<L&LBW ;Cmpl;;;;;;;;;;;;;
504995;370624;Daniel 2:5;link;JT#MWN00;htpe;830078;W;Conj;;830079;BTJKWN ;Subj;;830080;NWLJ ;Objc;;830081;JT#MWN00;Pred;;;;;;;;;;;;;
505249;371784;Daniel 3:10;link;#MT ;peal;830819;>NT ;Subj;;830821;#MT ;Pred;;830822;V<M ;Objc;;;;;;;;;;;;;;;;;
505261;371839;Daniel 3:12;link;#MW ;peal;830848;GBRJ> >LK ;Subj;;830849;L>&;Nega;;830850;#MW ;Pred;;830851;<LK ;Cmpl;;830853;V<M ;Objc;;;;;;;;;
505363;372281;Daniel 3:29;link;#JM ;peil;831123;W;Conj;;831124;MNJ ;Cmpl;;831125;#JM ;Pred;;831126;V<M ;Subj;;;;;;;;;;;;;
505386;372400;Daniel 4:3;link;#JM ;peil;831193;W;Conj;;831194;MNJ ;Cmpl;;831195;#JM ;Pred;;831196;V<M ;Subj;;;;;;;;;;;;;
505617;373430;Daniel 5:12;link;#M&;peal;831890;DJ&;Rela;;831891;MLK> ;Subj;;831892;#M&;Pred;;831893;#MH ;Objc;;831894;BLV#>YR ;Objc;;;;;;;;;
505774;374157;Daniel 6:14;link;#M ;peal;832370;DJ ;Conj;;832371;DNJ>L ;Subj;;832374;L>&;Nega;;832375;#M ;Pred;;832376;<LK ;Cmpl;;832378;V<M ;Objc;;;;;
505782;374185;Daniel 6:15;link;#M ;peal;832395;W;Conj;;832396;<L DNJ>L ;Cmpl;;832397;#M ;Pred;;832398;BL ;Objc;;;;;;;;;;;;;
505802;374261;Daniel 6:18;link;#MT ;peil;832448;W;Conj;;832449;#MT ;Pred;;832450;<L&PM GB> ;Cmpl;;;;;;;;;;;;;;;;;
505845;374466;Daniel 6:27;link;#JM ;peil;832588;MN&QDMJ ;Cmpl;;832589;#JM ;Pred;;832590;V<M ;Subj;;;;;;;;;;;;;;;;;
506450;377268;Daniel 11:17;link;J#M ;qal;834320;W;Conj;;834321;J#M ;Pred;;834322;PNJW ;Objc;;;;;;;;;;;;;;;;;
506458;377297;Daniel 11:18;link;J#M ;qal;834342;W;Conj;;834343;J#M ;Pred;;834344;PNJW ;Objc;;834345;L>JJM ;Cmpl;;;;;;;;;;;;;
506895;379886;Ezra 4:19;link;#JM ;peil;835558;W;Conj;;835559;MNJ ;Cmpl;;835560;#JM ;Pred;;835561;V<M ;Subj;;;;;;;;;;;;;
506903;379927;Ezra 4:21;link;#JMW ;peal;835586;K<N ;Time;;835587;#JMW ;Pred;;835588;V<M ;Objc;;;;;;;;;;;;;;;;;
506906;379941;Ezra 4:21;link;JT#M00;htpe;835595;<D&;Conj;;835596;MNJ ;Cmpl;;835597;V<M> ;Subj;;835598;JT#M00;Pred;;;;;;;;;;;;;
506928;380072;Ezra 5:3;link;#M ;peal;835662;MN&;Subj;;835663;#M ;Pred;;835664;LKM ;Cmpl;Adju;835665;V<M ;Objc;;;;;;;;;;;;;
506947;380172;Ezra 5:8;link;MT#M ;htpe;835723;W;Conj;;835724;>< ;Subj;;835725;MT#M ;PreC;;835726;BKTLJ> ;Cmpl;;;;;;;;;;;;;
506952;380193;Ezra 5:9;link;#M ;peal;835740;MN&;Subj;;835741;#M ;Pred;;835742;LKM ;Cmpl;Adju;835743;V<M ;Objc;;;;;;;;;;;;;
506971;380288;Ezra 5:13;link;#M ;peal;835794;BRM ;Modi;;835795;B#NT XDH LKWR# MLK> DJ BBL ;Time;;835796;KWR# MLK> ;Subj;;835797;#M ;Pred;;835798;V<M ;Objc;;;;;;;;;
506982;380335;Ezra 5:14;link;#MH00;peal;835826;DJ ;Rela;;835827;PXH ;Objc;;835828;#MH00;PreO;;;;;;;;;;;;;;;;;
506999;380400;Ezra 5:17;link;#JM ;peil;835869;DJ&;Conj;;835870;MN&KWR# MLK> ;Adju;;835871;#JM ;Pred;;835872;V<M ;Subj;;;;;;;;;;;;;
507002;380420;Ezra 6:1;link;#M ;peal;835880;B>DJN ;Time;;835881;DRJW# MLK> ;Subj;;835882;#M ;Pred;;835883;V<M ;Objc;;;;;;;;;;;;;
507009;380459;Ezra 6:3;link;#M ;peal;835902;B#NT XDH LKWR# MLK> ;Time;;835903;KWR# MLK> ;Subj;;835904;#M ;Pred;;835905;V<M ;Objc;;;;;;;;;;;;;
507032;380569;Ezra 6:8;link;#JM ;peil;835965;W;Conj;;835966;MNJ ;Adju;;835967;#JM ;Pred;;835968;V<M ;Subj;;835969;LM> ;Cmpl;;;;;;;;;
507044;380654;Ezra 6:11;link;#JM ;peil;836008;W;Conj;;836009;MNJ ;Adju;;836010;#JM ;Pred;;836011;V<M ;Subj;;;;;;;;;;;;;
507057;380703;Ezra 6:12;link;#MT ;peal;836045;>NH DRJW# ;Subj;;836046;#MT ;Pred;;836047;V<M ;Objc;;;;;;;;;;;;;;;;;
507108;381145;Ezra 7:13;link;#JM ;peil;836207;MNJ ;Cmpl;;836208;#JM ;Pred;;836209;V<M ;Subj;;;;;;;;;;;;;;;;;
