clause#;word#;passage;;verb;;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
481296;275144;Ezekiel 21:35;;NBR>T ;;767089;>#R&;Rela;;767090;NBR>T ;Pred;;;;;;;;;;;;;;;;;
482060;278559;Ezekiel 28:13;;HBR>K ;;769237;HBR>K ;PreS;;;;;;;;;;;;;;;;;;;;;
482066;278584;Ezekiel 28:15;;HBR>K ;;769251;HBR>K ;PreS;;;;;;;;;;;;;;;;;;;;;
485809;296483;Amos 4:13;;BR> ;;779855;W;Conj;;779856;BR> ;PreC;;779857;RWX ;Objc;;;;;;;;;;;;;
488959;309957;Malachi 2:10;;BR>NW ;;788450;H;Ques;;788451;LW> ;Nega;;788452;>L >XD ;Subj;;788453;BR>NW ;PreO;;;;;;;;;
491565;318959;Psalms 51:12;;BR>&;;794819;LB VHWR ;Objc;;794820;BR>&;Pred;;794821;LJ ;Adju;;;;;;;;;;;;;
493561;325836;Psalms 89:13;;BR>TM ;;799617;>TH ;Subj;;799618;BR>TM ;PreO;;;;;;;;;;;;;;;;;
493644;326154;Psalms 89:48;;BR>T ;;799847;<L&MH&;Adju;;799848;#W> ;PrAd;Objc;799849;BR>T ;Pred;;799850;KL&BNJ&>DM00;Objc;;;;;;;;;
494134;327894;Psalms 102:19;;NBR> ;;801025;W;Conj;;801026;<M NBR> ;Subj;;801027;JHLL&;Pred;;801028;JH00;Objc;;;;;;;;;
494304;328508;Psalms 104:30;;JBR>WN ;;801443;JBR>WN ;Pred;;;;;;;;;;;;;;;;;;;;;
496338;335773;Psalms 148:5;;NBR>W00;;806479;W;Conj;;806480;NBR>W00;Pred;;;;;;;;;;;;;;;;;
503582;363222;Ecclesiastes 12:1;;BWR>JK ;;825982;W;Conj;;825983;ZKR ;Pred;;825984;>T&BWR>JK ;Objc;;825985;BJMJ BXWRTJK ;Time;;;;;;;;;
