clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
440340;72585;Numbers 4:42;link;* PQWDJ ;qal;647034;W;Conj;;647035;* PQWDJ M#PXT BNJ MRRJ LM#PXTM LBJT >BTM00;Frnt;;;;;;;;;;;;;;;;;
440343;72618;Numbers 4:44;link;* PQDJHM ;qal;647041;W;Conj;;647042;* JHJW ;Pred;;647043;* PQDJHM ;Subj;;647044;LM#PXTM ;Adju;;647045;* #L#T >LPJM WM>TJM00;PreC;;;;;
440344;72626;Numbers 4:45;link;PQWDJ ;qal;647046;>LH ;Subj;;647047;* PQWDJ M#PXT BNJ MRRJ ;PreC;;;;;;;;;;;;;;;;;
440345;72631;Numbers 4:45;link;PQD ;qal;647048;>#R ;Rela;;647049;PQD ;Pred;;647050;M#H W>HRN ;Subj;;647051;<L&PJ JHWH BJD&M#H00;Adju;;;;;;;;;
440346;72643;Numbers 4:46;link;* PQDJM ;qal;647052;* KL&HPQDJM ;Frnt;;;;;;;;;;;;;;;;;;;;;
440347;72645;Numbers 4:46;link;PQD ;qal;647053;>#R ;Rela;;647054;PQD ;Pred;;647055;M#H W>HRN WN#J>J J#R>L ;Subj;;647056;>T&HLWJM ;Objc;;647057;LM#PXTM WLBJT >BTM00;Adju;;;;;
440351;72687;Numbers 4:48;link;* PQDJHM ;qal;647063;W;Conj;;647064;* JHJW ;Pred;;647065;* PQDJHM ;Subj;;647066;* #MNT >LPJM WXM# M>WT W#MNJM00;PreC;;;;;;;;;
440352;72698;Numbers 4:49;link;PQD ;qal;647067;<L&PJ JHWH ;Adju;;647068;PQD ;Pred;;647069;>WTM ;Objc;;647070;BJD&M#H ;Adju;;;;;;;;;
440354;72711;Numbers 4:49;link;* PQDJW ;qal;647073;W;Conj;;647074;PQDJW ;Objc;;;;;;;;;;;;;;;;;
440580;73929;Numbers 7:2;link;* PQDJM00;qal;647793;H;Rela;;647794;* <MDJM ;PreC;;647795;* <L&HPQDJM00;Cmpl;;;;;;;;;;;;;
