clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr;phr9#;phr9_txt;phr9_function;phr9_corr
448057;114557;Joshua 4:8;link;J#>W ;qal;670275;W;Conj;;670276;J#>W ;Pred;;670277;#TJ&<#RH >BNJM ;Objc;;670278;MTWK HJRDN ;Cmpl;;670283;LMSPR #BVJ BNJ&J#R>L ;Adju;;;;;;;;;;;;;;;;;
448061;114600;Joshua 4:9;link;N#>J ;qal;670291;W;Conj;;670292;#TJM <#RH >BNJM ;Objc;;670293;* HQJM ;Pred;;670294;JHW#< ;Subj;;670295;* BTWK HJRDN TXT MYB RGLJ HKHNJM N#>J >RWN HBRJT ;Cmpl;;;;;;;;;;;;;;;;;
448063;114615;Joshua 4:10;link;N#>J ;qal;670300;W;Conj;;670301;* HKHNJM N#>J H>RWN ;Subj;;670302;* <MDJM ;PreC;;670303;BTWK HJRDN ;Cmpl;;;;;;;;;;;;;;;;;;;;;
448082;114745;Joshua 4:16;link;N#>J ;qal;670363;* YWH ;Pred;;670364;* >T&HKHNJM N#>J >RWN H<DWT ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448088;114772;Joshua 4:18;link;N#>J ;qal;670377;* K<LWT ;Pred;;670378;* HKHNJM N#>J >RWN BRJT&JHWH ;Subj;;670379;MTWK HJRDN ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
448166;115264;Joshua 5:13;link;J#> ;qal;670628;W;Conj;;670629;J#> ;Pred;;670630;<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
448198;115396;Joshua 6:4;link;J#>W ;qal;670724;W;Conj;;670725;#B<H KHNJM ;Subj;;670726;J#>W ;Pred;;670727;#B<H #WPRWT HJWBLJM ;Objc;;670728;LPNJ H>RWN ;Cmpl;;;;;;;;;;;;;;;;;
448210;115467;Joshua 6:6;link;#>W ;qal;670763;#>W ;Pred;;670764;>T&>RWN HBRJT ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448211;115475;Joshua 6:6;link;J#>W ;qal;670765;W;Conj;;670766;#B<H KHNJM ;Subj;;670767;J#>W ;Pred;;670768;#B<H #WPRWT JWBLJM ;Objc;;670769;LPNJ >RWN JHWH00;Cmpl;;;;;;;;;;;;;;;;;
448219;115514;Joshua 6:8;link;N#>JM ;qal;670788;N#>JM ;PreC;;670789;#B<H #WPRWT HJWBLJM ;Objc;;670790;LPNJ JHWH ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
