clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
494237;328283;Psalms 104:7;link;JNWSWN ;qal;801284;MN&G<RTK ;Adju;Cmpl;801285;JNWSWN ;Pred;;;;;;;;;;;;;;;;;
494859;330651;Psalms 114:3;link;JNS ;qal;802883;W;Conj;;802884;JNS ;Pred;;;;;;;;;;;;;;;;;
494865;330671;Psalms 114:5;link;TNWS ;qal;802896;KJ ;Conj;;802897;TNWS ;Pred;;;;;;;;;;;;;;;;;
501373;354569;Proverbs 28:1;link;NSW ;qal;820197;NSW ;Pred;;820201;R#< ;Subj;;;;;;;;;;;;;;;;;
501418;354737;Proverbs 28:17;link;JNWS ;qal;820311;>DM ;Subj;;820314;<D&BWR ;Cmpl;;820315;JNWS ;Pred;;;;;;;;;;;;;
502303;357999;Song_of_songs 2:17;link;NSW ;qal;822652;W;Conj;;822653;NSW ;Pred;;822654;HYLLJM ;Subj;;;;;;;;;;;;;
502374;358293;Song_of_songs 4:6;link;NSW ;qal;822820;W;Conj;;822821;NSW ;Pred;;822822;HYLLJM ;Subj;;;;;;;;;;;;;
509538;396700;1_Chronicles 10:1;link;JNS ;qal;843183;W;Conj;;843184;JNS ;Pred;;843185;>J#&J#R>L ;Subj;;843186;MPNJ PL#TJM ;Cmpl;;;;;;;;;
509563;396825;1_Chronicles 10:7;link;NSW ;qal;843264;KJ ;Conj;;843265;NSW ;Pred;;;;;;;;;;;;;;;;;
509566;396836;1_Chronicles 10:7;link;JNSW ;qal;843273;W;Conj;;843274;JNSW ;Pred;;;;;;;;;;;;;;;;;
509641;397253;1_Chronicles 11:13;link;NSW ;qal;843518;W;Conj;;843519;H<M ;Subj;;843520;NSW ;Pred;;843521;MPNJ PL#TJM00;Cmpl;;;;;;;;;
510382;401441;1_Chronicles 19:14;link;JNWSW ;qal;845670;W;Conj;;845671;JNWSW ;Pred;;845672;MPNJW00;Cmpl;;;;;;;;;;;;;
510384;401449;1_Chronicles 19:15;link;NS ;qal;845676;KJ&;Conj;;845677;NS ;Pred;;845678;>RM ;Subj;;;;;;;;;;;;;
510385;401452;1_Chronicles 19:15;link;JNWSW ;qal;845679;W;Conj;;845680;JNWSW ;Pred;;845681;GM&HM ;Subj;;845682;MPNJ >B#J >XJW ;Cmpl;;;;;;;;;
510402;401524;1_Chronicles 19:18;link;JNS ;qal;845731;W;Conj;;845732;JNS ;Pred;;845733;>RM ;Subj;;845734;MLPNJ J#R>L ;Cmpl;;;;;;;;;
512139;412168;2_Chronicles 10:18;link;NWS ;qal;850873;LNWS ;Pred;;850874;JRW#LM00;Cmpl;;;;;;;;;;;;;;;;;
512338;413340;2_Chronicles 13:16;link;JNWSW ;qal;851467;W;Conj;;851468;JNWSW ;Pred;;851469;BNJ&J#R>L ;Subj;;851470;MPNJ JHWDH ;Cmpl;;;;;;;;;
512407;413727;2_Chronicles 14:11;link;JNSW ;qal;851682;W;Conj;;851683;JNSW ;Pred;;851684;HKW#JM00;Subj;;;;;;;;;;;;;
513443;419427;2_Chronicles 25:22;link;JNSW ;qal;854789;W;Conj;;854790;JNSW ;Pred;;;;;;;;;;;;;;;;;
513458;419550;2_Chronicles 25:27;link;JNS ;qal;854839;W;Conj;;854840;JNS ;Pred;;854841;LKJ#H ;Cmpl;;;;;;;;;;;;;
