clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
427450;5072;Genesis 11:6;link;<#WT ;qal;607866;L<#WT ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
427453;5082;Genesis 11:6;link;<#WT00;qal;607875;L<#WT00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
427527;5504;Genesis 12:2;link;><#K ;qal;608113;W;Conj;;608114;><#K ;PreO;;608115;LGWJ GDWL ;Cmpl;;;;;;;;;;;;;;;;;
427541;5575;Genesis 12:5;link;<#W ;qal;608156;>#R&;Rela;;608157;<#W ;Pred;;608158;BXRN ;Loca;;;;;;;;;;;;;;;;;
427591;5822;Genesis 12:18;link;<#JT ;qal;608320;MH&Z>T ;Objc;;608321;<#JT ;Pred;;608322;LJ ;Cmpl;Adju;;;;;;;;;;;;;;;;
427610;5925;Genesis 13:4;link;<#H ;qal;608383;>#R&;Rela;;608384;<#H ;Pred;;608385;#M ;Loca;;608386;BR>#NH ;Time;;;;;;;;;;;;;
427665;6227;Genesis 14:2;link;<#W ;qal;608562;<#W ;Pred;;608563;MLXMH ;Objc;;608564;>T&BR< MLK SDM W>T&BR#< MLK <MRH #N>B MLK >DMH W#M>BR MLK YBWJM WMLK BL< ;Cmpl;Adju;;;;;;;;;;;;;;;;
427842;7146;Genesis 16:6;link;<#J&;qal;609082;<#J&;Pred;;609083;LH ;Cmpl;Adju;;;;;;;;;;;;;;;;;;;;
427984;7885;Genesis 18:5;link;T<#H ;qal;609538;KN ;Modi;;609539;T<#H ;Pred;;;;;;;;;;;;;;;;;;;;;
427990;7905;Genesis 18:6;link;<#J ;qal;609552;W;Conj;;609553;<#J ;Pred;;609554;<GWT00;Objc;;;;;;;;;;;;;;;;;
427995;7928;Genesis 18:7;link;<#WT ;qal;609567;L<#WT ;Pred;;609568;>TW00;Objc;;;;;;;;;;;;;;;;;;;;;
427997;7940;Genesis 18:8;link;<#H ;qal;609572;>#R ;Rela;;609573;<#H ;Pred;;;;;;;;;;;;;;;;;;;;;
428040;8100;Genesis 18:17;link;<#H00;qal;609688;>#R ;Rela;;609689;>NJ ;Subj;;609690;<#H00;PreC;;;;;;;;;;;;;;;;;
428046;8133;Genesis 18:19;link;<#WT ;qal;609708;L<#WT ;Pred;;609709;YDQH WM#PV ;Objc;;;;;;;;;;;;;;;;;;;;;
428056;8170;Genesis 18:21;link;<#W ;qal;609731;H;Ques;;609732;KY<QTH ;Adju;;609736;<#W ;Pred;;609737;KLH ;Objc;;;;;;;;;;;;;
428072;8230;Genesis 18:25;link;<#T ;qal;609780;M<#T ;Pred;;609781;KDBR HZH ;Adju;;;;;;;;;;;;;;;;;;;;;
428076;8257;Genesis 18:25;link;J<#H ;qal;609791;H;Ques;;609792;#PV KL&H>RY ;Subj;;609793;L> ;Nega;;609794;J<#H ;Pred;;609795;M#PV00;Objc;;;;;;;;;
428095;8336;Genesis 18:29;link;><#H ;qal;609850;L> ;Nega;;609851;><#H ;Pred;;609852;B<BWR H>RB<JM00;Adju;;;;;;;;;;;;;;;;;
428101;8357;Genesis 18:30;link;><#H ;qal;609867;L> ;Nega;;609868;><#H ;Pred;;;;;;;;;;;;;;;;;;;;;
428140;8489;Genesis 19:3;link;J<# ;qal;609971;W;Conj;;609972;J<# ;Pred;;609973;LHM ;Cmpl;Adju;609974;M#TH ;Objc;;;;;;;;;;;;;
428159;8570;Genesis 19:8;link;<#W ;qal;610030;W;Conj;;610031;<#W ;Pred;;610032;LHN ;Cmpl;Adju;610033;KVWB B<JNJKM ;Adju;;;;;;;;;;;;;
428160;8584;Genesis 19:8;link;T<#W ;qal;610034;RQ L>N#JM H>L ;Cmpl;Adju;610035;>L&;Nega;;610036;T<#W ;Pred;;610037;DBR ;Objc;;;;;;;;;;;;;
428218;8846;Genesis 19:19;link;<#JT ;qal;610199;>#R ;Rela;;610200;<#JT ;Pred;;610201;<MDJ ;Cmpl;Adju;;;;;;;;;;;;;;;;
428237;8916;Genesis 19:22;link;<#WT ;qal;610251;L<#WT ;Pred;;610252;DBR ;Objc;;;;;;;;;;;;;;;;;;;;;
428317;9337;Genesis 20:5;link;<#JTJ ;qal;610508;BTM&LBBJ WBNQJN KPJ ;Adju;;610509;<#JTJ ;Pred;;610510;Z>T00;Objc;;;;;;;;;;;;;;;;;
428320;9353;Genesis 20:6;link;<#JT ;qal;610518;KJ ;Conj;;610519;BTM&LBBK ;Adju;;610520;<#JT ;Pred;;610521;Z>T ;Objc;;;;;;;;;;;;;
428340;9432;Genesis 20:9;link;<#JT ;qal;610578;MH&;Objc;;610579;<#JT ;Pred;;610580;LNW ;Cmpl;Adju;;;;;;;;;;;;;;;;
428344;9449;Genesis 20:9;link;J<#W ;nif;610590;>#R ;Rela;;610591;L>&;Nega;;610592;J<#W ;Pred;;;;;;;;;;;;;;;;;
428343;9450;Genesis 20:9;link;<#JT ;qal;610589;M<#JM ;Objc;;610593;<#JT ;Pred;;610594;<MDJ00;Cmpl;Adju;;;;;;;;;;;;;;;;
428347;9460;Genesis 20:10;link;<#JT ;qal;610601;KJ ;Conj;;610602;<#JT ;Pred;;610603;>T&HDBR HZH00;Objc;;;;;;;;;;;;;;;;;
428359;9517;Genesis 20:13;link;T<#J ;qal;610639;>#R ;Rela;;610640;T<#J ;Pred;;610641;<MDJ ;Cmpl;Adju;;;;;;;;;;;;;;;;
428381;9629;Genesis 21:1;link;J<# ;qal;610709;W;Conj;;610710;J<# ;Pred;;610711;JHWH ;Subj;;610712;L#RH ;Cmpl;Adju;;;;;;;;;;;;
428394;9696;Genesis 21:6;link;<#H ;qal;610757;YXQ ;Objc;;610758;<#H ;Pred;;610759;LJ ;Cmpl;Adju;610760;>LHJM ;Subj;;;;;;;;;;;;;
428403;9725;Genesis 21:8;link;J<# ;qal;610783;W;Conj;;610784;J<# ;Pred;;610785;>BRHM ;Subj;;610786;M#TH GDWL ;Objc;;;;;;;;;;;;;
428464;10027;Genesis 21:22;link;<#H00;qal;610971;>#R&;Rela;;610972;>TH ;Subj;;610973;<#H00;PreC;;;;;;;;;;;;;;;;;
428469;10048;Genesis 21:23;link;<#JTJ ;qal;610984;>#R&;Rela;;610985;<#JTJ ;Pred;;610986;<MK ;Cmpl;Adju;;;;;;;;;;;;;;;;
428468;10050;Genesis 21:23;link;T<#H ;qal;610983;KXSD ;Adju;;610987;T<#H ;Pred;;610988;<MDJ W<M&H>RY ;Cmpl;Adju;;;;;;;;;;;;;;;;
428477;10084;Genesis 21:26;link;<#H ;qal;611010;MJ ;Subj;;611011;<#H ;Pred;;611012;>T&HDBR HZH ;Objc;;;;;;;;;;;;;;;;;
428559;10493;Genesis 22:12;link;T<# ;qal;611268;W;Conj;;611269;>L&;Nega;;611270;T<# ;Pred;;611271;LW ;Cmpl;Adju;611272;M>WMH ;Objc;;;;;;;;;
428579;10579;Genesis 22:16;link;<#JT ;qal;611330;J<N >#R ;Conj;;611331;<#JT ;Pred;;611332;>T&HDBR HZH ;Objc;;;;;;;;;;;;;;;;;
428720;11361;Genesis 24:12;link;<#H&;qal;611760;W;Conj;;611761;<#H&;Pred;;611762;XSD ;Objc;;611763;<M >DNJ >BRHM00;Cmpl;Adju;;;;;;;;;;;;
428734;11411;Genesis 24:14;link;<#JT ;qal;611796;KJ&;Conj;;611797;<#JT ;Pred;;611798;XSD ;Objc;;611799;<M&>DNJ00;Cmpl;Adju;;;;;;;;;;;;
428899;12082;Genesis 24:49;link;<#JM ;qal;612248;>M&;Conj;;612249;J#KM ;ExsS;;612250;<#JM ;PreC;;612251;XSD W>MT ;Objc;;612252;>T&>DNJ ;Cmpl;Adju;;;;;;;;
428975;12399;Genesis 24:66;link;<#H00;qal;612459;>#R ;Rela;;612460;<#H00;Pred;;;;;;;;;;;;;;;;;;;;;
429132;13176;Genesis 26:10;link;<#JT ;qal;612936;MH&Z>T ;Objc;;612937;<#JT ;Pred;;612938;LNW ;Cmpl;Adju;;;;;;;;;;;;;;;;
429204;13512;Genesis 26:29;link;T<#H ;qal;613172;>M&;Conj;;613173;T<#H ;Pred;;613174;<MNW ;Cmpl;Adju;613175;R<H ;Objc;;;;;;;;;;;;;
429206;13522;Genesis 26:29;link;<#JNW ;qal;613179;W;Conj;;613180;K>#R ;Conj;;613181;<#JNW ;Pred;;613182;<MK ;Cmpl;Adju;613183;RQ&VWB ;Objc;;;;;;;;;
429209;13535;Genesis 26:30;link;J<# ;qal;613190;W;Conj;;613191;J<# ;Pred;;613192;LHM ;Cmpl;Adju;613193;M#TH ;Objc;;;;;;;;;;;;;
429244;13684;Genesis 27:4;link;<#H&;qal;613289;W;Conj;;613290;<#H&;Pred;;613291;LJ ;Cmpl;Adju;613292;MV<MJM ;Objc;;;;;;;;;;;;;
429261;13743;Genesis 27:7;link;<#H&;qal;613332;W;Conj;;613333;<#H&;Pred;;613334;LJ ;Cmpl;Adju;613335;MV<MJM ;Objc;;;;;;;;;;;;;
429270;13782;Genesis 27:9;link;><#H ;qal;613359;W;Conj;;613360;><#H ;Pred;;613361;>TM ;Objc;;613362;MV<MJM ;Objc;;613363;L>BJK ;Cmpl;Adju;;;;;;;;
429291;13858;Genesis 27:14;link;T<# ;qal;613419;W;Conj;;613420;T<# ;Pred;;613421;>MW ;Subj;;613422;MV<MJM ;Objc;;;;;;;;;;;;;
429298;13911;Genesis 27:17;link;<#TH ;qal;613443;>#R ;Rela;;613444;<#TH ;Pred;;;;;;;;;;;;;;;;;;;;;
429308;13937;Genesis 27:19;link;<#JTJ ;qal;613464;<#JTJ ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
429372;14154;Genesis 27:31;link;J<# ;qal;613629;W;Conj;;613630;J<# ;Pred;;613631;GM&HW> ;Subj;;613632;MV<MJM ;Objc;;;;;;;;;;;;;
429414;14305;Genesis 27:37;link;><#H ;qal;613750;MH ;Objc;;613751;><#H ;Pred;;;;;;;;;;;;;;;;;;;;;
429454;14455;Genesis 27:45;link;<#JT ;qal;613854;>T >#R&;Rela;;613855;<#JT ;Pred;;613856;LW ;Cmpl;Adju;;;;;;;;;;;;;;;;
429521;14799;Genesis 28:15;link;<#JTJ ;qal;614072;<D >#R >M&;Conj;;614073;<#JTJ ;Pred;;;;;;;;;;;;;;;;;;;;;
429645;15349;Genesis 29:22;link;J<# ;qal;614445;W;Conj;;614446;J<# ;Pred;;614447;M#TH00;Objc;;;;;;;;;;;;;;;;;
429654;15394;Genesis 29:25;link;<#JT ;qal;614478;MH&Z>T ;Objc;;614479;<#JT ;Pred;;614480;LJ ;Cmpl;Adju;;;;;;;;;;;;;;;;
429658;15409;Genesis 29:26;link;J<#H ;nif;614492;L>&;Nega;;614493;J<#H ;Pred;;614494;KN ;Modi;;614495;BMQWMNW ;Loca;;;;;;;;;;;;;
429663;15440;Genesis 29:28;link;J<# ;qal;614511;W;Conj;;614512;J<# ;Pred;;614513;J<QB ;Subj;;614514;KN ;Modi;;;;;;;;;;;;;
429815;16062;Genesis 30:30;link;><#H ;qal;615005;MTJ ;Ques;;615006;><#H ;Pred;;615007;GM&>NKJ ;Subj;;615008;LBJTJ00;Cmpl;Adju;;;;;;;;;;;;
429820;16080;Genesis 30:31;link;T<#H&;qal;615021;>M&;Conj;;615022;T<#H&;Pred;;615023;LJ ;Cmpl;Adju;615024;HDBR HZH ;Objc;;;;;;;;;;;;;
429872;16398;Genesis 31:1;link;<#H ;qal;615176;W;Conj;;615179;<#H ;Pred;;615180;>T KL&HKBD HZH00;Objc;;;;;;;;;;;;;;;;;
429915;16591;Genesis 31:12;link;<#H ;qal;615312;>#R ;Rela;;615313;LBN ;Subj;;615314;<#H ;PreC;;615315;LK00;Cmpl;Adju;;;;;;;;;;;;
429932;16670;Genesis 31:16;link;<#H00;qal;615365;KL ;Objc;;615370;<#H00;Pred;;;;;;;;;;;;;;;;;;;;;
429965;16843;Genesis 31:26;link;<#JT ;qal;615476;MH ;Objc;;615477;<#JT ;Pred;;;;;;;;;;;;;;;;;;;;;
429976;16890;Genesis 31:28;link;<#W00;qal;615505;<#W00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
429978;16896;Genesis 31:29;link;<#WT ;qal;615508;L<#WT ;Pred;;615509;<MKM ;Cmpl;Adju;615510;R< ;Objc;;;;;;;;;;;;;;;;;
430054;17219;Genesis 31:43;link;><#H ;qal;615729;MH&;Objc;;615730;><#H ;Pred;;615731;L>LH ;Cmpl;Adju;615732;HJWM ;Time;;;;;;;;;;;;;
430065;17262;Genesis 31:46;link;J<#W&;qal;615762;W;Conj;;615763;J<#W&;Pred;;615764;GL ;Objc;;;;;;;;;;;;;;;;;
430139;17640;Genesis 32:11;link;<#JT ;qal;615988;>#R ;Rela;;615989;<#JT ;Pred;;615990;>T&<BDK ;Cmpl;Adju;;;;;;;;;;;;;;;;
430306;18389;Genesis 33:17;link;<#H ;qal;616469;W;Conj;;616470;LMQNHW ;Cmpl;Adju;616471;<#H ;Pred;;616472;SKT ;Objc;;;;;;;;;;;;;
430341;18567;Genesis 34:7;link;<#H ;qal;616578;KJ&;Conj;;616579;NBLH ;Objc;;616580;<#H ;Pred;;616581;BJ#R>L ;Cmpl;Adju;;;;;;;;;;;;
430343;18578;Genesis 34:7;link;J<#H00;nif;616584;W;Conj;;616585;KN ;Modi;;616586;L> ;Nega;;616587;J<#H00;Pred;;;;;;;;;;;;;
430370;18685;Genesis 34:14;link;<#WT ;qal;616666;L<#WT ;Pred;;616667;HDBR HZH ;Objc;;;;;;;;;;;;;;;;;;;;;
430387;18765;Genesis 34:19;link;<#WT ;qal;616720;L<#WT ;Pred;;616721;HDBR ;Objc;;;;;;;;;;;;;;;;;;;;;
430439;19039;Genesis 34:31;link;J<#H ;qal;616866;H;Ques;;616867;KZWNH ;Cmpl;;616868;J<#H ;Pred;;616869;>T&>XWTNW00;Objc;;;;;;;;;;;;;
430444;19054;Genesis 35:1;link;<#H&;qal;616880;W;Conj;;616881;<#H&;Pred;;616882;#M ;Loca;;616883;MZBX ;Objc;;616884;L>L ;Cmpl;Adju;;;;;;;;
