clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
508619;390481;Nehemiah 12:47;link;NTNJM ;qal;840557;W;Conj;;840558;KL&J#R>L ;Subj;;840559;BJMJ ZRBBL WBJMJ NXMJH ;Cmpl;;840560;NTNJM ;PreC;;840561;MNJWT HM#RRJM WH#<RJM ;Objc;;840562;DBR&JWM BJWMW ;Modi;;;;;;;;;
508634;390581;Nehemiah 13:4;link;NTWN ;qal;840610;NTWN ;PreC;;840611;BL#KT BJT&>LHJNW ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
508637;390599;Nehemiah 13:5;link;NTNJM ;qal;840618;W;Conj;;840619;#M ;Loca;Cmpl;840620;HJW ;Pred;;840621;LPNJM ;Time;;840622;NTNJM ;PreC;;840623;>T&HMNXH ;Objc;;840624;HLBWNH WHKLJM WM<#R HDGN HTJRW# WHJYHR ;Objc;BoundErr;;;;
508652;390725;Nehemiah 13:10;link;NTNH ;nif;840672;KJ&;Conj;;840673;MNJWT HLWJM ;Subj;;840674;L> ;Nega;;840675;NTNH ;Pred;;;;;;;;;;;;;;;;;
508728;391104;Nehemiah 13:25;link;TTNW ;qal;840892;>M&;Conj;;840893;TTNW ;Pred;;840894;BNTJKM ;Objc;;840895;LBNJHM ;Cmpl;;;;;;;;;;;;;;;;;
508733;391141;Nehemiah 13:26;link;JTNHW ;qal;840916;W;Conj;;840917;JTNHW ;PreO;;840918;>LHJM ;Subj;;840919;MLK ;Objc;;840920;<L&KL&J#R>L ;Cmpl;;;;;;;;;;;;;
508921;392273;1_Chronicles 2:35;link;JTN ;qal;841436;W;Conj;;841437;JTN ;Pred;;841438;##N ;Subj;;841439;>T&BTW ;Objc;;841440;LJRX< <BDW ;Cmpl;;841441;L>#H ;Adju;;;;;;;;;
509113;393467;1_Chronicles 5:1;link;NTNH ;nif;841985;W;Conj;;841988;NTNH ;Pred;;841989;BKRTW ;Subj;;841990;LBNJ JWSP BN&J#R>L ;Cmpl;;;;;;;;;;;;;;;;;
509151;393756;1_Chronicles 5:20;link;JNTNW ;nif;842092;W;Conj;;842093;JNTNW ;Pred;;842094;BJDM ;Cmpl;;842095;HHGRJ>JM WKL ;Subj;;;;;;;;;;;;;;;;;
509246;394373;1_Chronicles 6:33;link;NTWNJM ;qal;842351;W;Conj;;842352;>XJHM HLWJM ;Subj;;842353;NTWNJM ;PreC;;842354;LKL&<BWDT M#KN BJT H>LHJM00;Cmpl;;;;;;;;;;;;;;;;;
