clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
449893;126502;Joshua 23:14;link;HWLK ;qal;675944;>NKJ ;Subj;;675945;HWLK ;PreC;;675946;HJWM ;Time;;675947;BDRK KL&H>RY ;Cmpl;;;;;;;;;
449907;126596;Joshua 23:16;link;HLKTM ;qal;675993;W;Conj;;675994;HLKTM ;Pred;;;;;;;;;;;;;;;;;
449921;126690;Joshua 24:3;link;>WLK ;hif;676041;W;Conj;;676042;>WLK ;Pred;;676043;>WTW ;Objc;;676044;BKL&>RY KN<N ;Cmpl;;;;;;;;;
449997;127086;Joshua 24:17;link;HLKNW ;qal;676281;>#R ;Rela;;676282;HLKNW ;Pred;;676283;BH ;Cmpl;;;;;;;;;;;;;
450070;127493;Judges 1:3;link;HLKTJ ;qal;676520;W;Conj;;676521;HLKTJ ;Pred;;676522;GM&>NJ ;Subj;;676523;>TK ;Adju;;676524;BGWRLK ;Cmpl;;;;;
450071;127500;Judges 1:3;link;JLK ;qal;676525;W;Conj;;676526;JLK ;Pred;;676527;>TW ;Adju;;676528;#M<WN00;Subj;;;;;;;;;
450096;127627;Judges 1:10;link;JLK ;qal;676605;W;Conj;;676606;JLK ;Pred;;676607;JHWDH ;Subj;;676608;>L&HKN<NJ ;Cmpl;;;;;;;;;
450100;127653;Judges 1:11;link;JLK ;qal;676619;W;Conj;;676620;JLK ;Pred;;676621;M#M ;Cmpl;;676622;>L&JW#BJ DBJR ;Cmpl;;;;;;;;;
450123;127772;Judges 1:16;link;JLK ;qal;676694;W;Conj;;676695;JLK ;Pred;;;;;;;;;;;;;;;;;
450125;127779;Judges 1:17;link;JLK ;qal;676699;W;Conj;;676700;JLK ;Pred;;676701;JHWDH ;Subj;;676702;>T&#M<WN >XJW ;Adju;;;;;;;;;
450153;127955;Judges 1:26;link;JLK ;qal;676798;W;Conj;;676799;JLK ;Pred;;676800;H>J# ;Subj;;676801;>RY HXTJM ;Cmpl;;;;;;;;;
450207;128311;Judges 2:6;link;JLKW ;qal;676982;W;Conj;;676983;JLKW ;Pred;;676984;BNJ&J#R>L ;Subj;;;;;;;;;;;;;
450226;128438;Judges 2:12;link;JLKW ;qal;677045;W;Conj;;677046;JLKW ;Pred;;677047;>XRJ >LHJM >XRJM M>LHJ H<MJM ;Cmpl;;;;;;;;;;;;;
450249;128551;Judges 2:17;link;HLKW ;qal;677120;>#R ;Rela;;677121;HLKW ;Pred;;677122;>BWTM ;Subj;;;;;;;;;;;;;
450259;128603;Judges 2:19;link;LKT ;qal;677153;LLKT ;Pred;;677154;>XRJ >LHJM >XRJM ;Cmpl;;;;;;;;;;;;;;;;;
450274;128677;Judges 2:22;link;LKT ;qal;677197;LLKT ;Pred;;677198;BM ;Cmpl;;;;;;;;;;;;;;;;;
450324;128969;Judges 3:13;link;JLK ;qal;677356;W;Conj;;677357;JLK ;Pred;;;;;;;;;;;;;;;;;
450424;129489;Judges 4:6;link;LK ;qal;677676;LK ;Pred;;;;;;;;;;;;;;;;;;;;;
450430;129534;Judges 4:8;link;TLKJ ;qal;677697;>M&;Conj;;677698;TLKJ ;Pred;;677699;<MJ ;Cmpl;Adju;;;;;;;;;;;;
450431;129537;Judges 4:8;link;HLKTJ ;qal;677700;W;Conj;;677701;HLKTJ ;Pred;;;;;;;;;;;;;;;;;
450432;129541;Judges 4:8;link;TLKJ ;qal;677702;W;Conj;;677703;>M&;Conj;;677704;L> ;Nega;;677705;TLKJ ;Pred;;677706;<MJ ;Cmpl;Adju;;;;
450433;129544;Judges 4:8;link;>LK00;qal;677707;L> ;Nega;;677708;>LK00;Pred;;;;;;;;;;;;;;;;;
450435;129547;Judges 4:9;link;HLK ;qal;677711;HLK ;Modi;;677712;>LK ;Pred;;677713;<MK ;Adju;Adju;;;;;;;;;;;;
450437;129560;Judges 4:9;link;HWLK ;qal;677720;>#R ;Rela;;677721;>TH ;Subj;;677722;HWLK ;PreC;;;;;;;;;;;;;
450440;129573;Judges 4:9;link;TLK ;qal;677731;W;Conj;;677732;TLK ;Pred;;677733;<M&BRQ ;Adju;;677734;QD#H00;Cmpl;;;;;;;;;
450503;129888;Judges 4:22;link;LK ;qal;677926;LK ;Pred;;;;;;;;;;;;;;;;;;;;;
450512;129927;Judges 4:24;link;TLK ;qal;677950;W;Conj;;677951;TLK ;Pred;;677952;JD BNJ&J#R>L ;Subj;;677953;HLWK WQ#H ;Modi;Adju;677954;<L JBJN MLK&KN<N ;Cmpl;;;;;
450536;130025;Judges 5:6;link;HLKJ ;qal;678002;W;Conj;;678003;HLKJ NTJBWT ;Subj;;678004;JLKW ;Pred;;678005;>RXWT <QLQLWT00;Objc;Cmpl;;;;;;;;
450553;130078;Judges 5:10;link;HLKJ ;qal;678039;W;Conj;;678040;HLKJ ;PreC;;678041;<L&DRK ;Cmpl;;;;;;;;;;;;;
450700;130704;Judges 6:14;link;LK ;qal;678441;LK ;Pred;;678442;BKXK ZH ;Adju;;;;;;;;;;;;;;;;;
