clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
503692;363696;Lamentations 1:10;link;B>W ;qal;826291;GWJM ;Subj;;826292;B>W ;Pred;;826293;MQD#H ;Cmpl;;;;;;;;;;;;;;;;;;;;;
503694;363701;Lamentations 1:10;link;JB>W ;qal;826296;L>&;Nega;;826297;JB>W ;Pred;;826298;BQHL ;Cmpl;;826299;LK00;Adju;;;;;;;;;;;;;;;;;
503762;363924;Lamentations 1:21;link;HB>T ;hif;826468;HB>T ;Pred;;826469;JWM&;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
503765;363930;Lamentations 1:22;link;TB> ;qal;826474;TB> ;Pred;;826475;KL&R<TM ;Subj;;826476;LPNJK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
503913;364531;Lamentations 3:13;link;HBJ> ;hif;826867;HBJ> ;Pred;;826868;BKLJWTJ ;Cmpl;;826869;BNJ >#PTW00;Objc;;;;;;;;;;;;;;;;;;;;;
504062;365107;Lamentations 4:12;link;JB> ;qal;827248;KJ ;Conj;;827249;JB> ;Pred;;827250;YR W>WJB ;Subj;;827251;B#<RJ JRW#LM00;Cmpl;;;;;;;;;;;;;;;;;
504093;365199;Lamentations 4:18;link;B> ;qal;827314;KJ&;Conj;;827315;B> ;Pred;;827316;QYJNW00;Subj;;;;;;;;;;;;;;;;;;;;;
504125;365294;Lamentations 5:4;link;JB>W00;qal;827381;<YJNW ;Subj;;827382;BMXJR ;Adju;;827383;JB>W00;Pred;;;;;;;;;;;;;;;;;;;;;
504137;365327;Lamentations 5:9;link;NBJ> ;hif;827411;BNP#NW ;Adju;;827412;NBJ> ;Pred;;827413;LXMNW ;Objc;;827414;MPNJ XRB HMDBR00;Adju;;;;;;;;;;;;;;;;;
504192;365676;Esther 1:11;link;HBJ> ;hif;827569;LHBJ> ;Pred;;827570;>T&W#TJ HMLKH ;Objc;;827571;LPNJ HMLK ;Cmpl;;827572;BKTR MLKWT ;Adju;;;;;;;;;;;;;;;;;
504196;365707;Esther 1:12;link;BW> ;qal;827582;LBW> ;Pred;;827583;BDBR HMLK ;Adju;;;;;;;;;;;;;;;;;;;;;;;;;
504216;365854;Esther 1:17;link;HBJ> ;hif;827641;LHBJ> ;Pred;;827642;>T&W#TJ HMLKH ;Objc;;827643;LPNJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504217;365863;Esther 1:17;link;B>H00;qal;827644;W;Conj;;827645;L>&;Nega;;827646;B>H00;Pred;;;;;;;;;;;;;;;;;;;;;
504225;365914;Esther 1:19;link;TBW> ;qal;827670;>#R ;Rela;;827671;L>&;Nega;;827672;TBW> ;Pred;;827673;W#TJ ;Subj;;827674;LPNJ HMLK >X#WRW# ;Cmpl;;;;;;;;;;;;;
504282;366301;Esther 2:12;link;BW> ;qal;827863;LBW> ;Pred;;827864;>L&HMLK >X#WRW# ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504288;366344;Esther 2:13;link;B>H ;qal;827879;W;Conj;;827880;BZH ;Adju;;827881;HN<RH ;Subj;;827882;B>H ;PreC;;827883;>L&HMLK ;Cmpl;;;;;;;;;;;;;
504291;366355;Esther 2:13;link;BW> ;qal;827889;LBW> ;Pred;;827890;<MH ;Adju;;827891;MBJT HN#JM ;Cmpl;;827892;<D&BJT HMLK00;Cmpl;;;;;;;;;;;;;;;;;
504292;366369;Esther 2:14;link;B>H ;qal;827893;B<RB ;Time;;827894;HJ> ;Subj;;827895;B>H ;PreC;;;;;;;;;;;;;;;;;;;;;
504294;366391;Esther 2:14;link;TBW> ;qal;827902;L>&;Nega;;827903;TBW> ;Pred;;827904;<WD ;Modi;;827905;>L&HMLK ;Cmpl;;;;;;;;;;;;;;;;;
504300;366421;Esther 2:15;link;BW> ;qal;827920;LBW> ;Pred;;827921;>L&HMLK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504377;366891;Esther 3:9;link;HBJ> ;hif;828173;LHBJ> ;Pred;;828174;>L&GNZJ HMLK00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504415;367132;Esther 4:2;link;JBW> ;qal;828279;W;Conj;;828280;JBW> ;Pred;;828281;<D LPNJ #<R&HMLK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504417;367142;Esther 4:2;link;BW> ;qal;828284;LBW> ;Pred;;828285;>L&#<R HMLK ;Cmpl;;828286;BLBW# #Q00;Adju;;;;;;;;;;;;;;;;;;;;;
504422;367183;Esther 4:4;link;TBW>NH ;qal;828299;W;Conj;;828300;TBW>NH ;Pred;;828301;N<RWT >STR WSRJSJH ;Subj;;;;;;;;;;;;;;;;;;;;;
504448;367306;Esther 4:8;link;BW> ;qal;828372;LBW> ;Pred;;828373;>L&HMLK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504451;367322;Esther 4:9;link;JBW> ;qal;828380;W;Conj;;828381;JBW> ;Pred;;828382;HTK ;Subj;;;;;;;;;;;;;;;;;;;;;
504457;367356;Esther 4:11;link;JBW>&;qal;828398;>#R ;Rela;;828399;JBW>&;Pred;;828400;>L&HMLK ;Cmpl;;828401;>L&HXYR HPNJMJT ;Adju;;;;;;;;;;;;;;;;;
504464;367391;Esther 4:11;link;BW> ;qal;828420;LBW> ;Pred;;828421;>L&HMLK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504484;367502;Esther 4:16;link;>BW> ;qal;828483;W;Conj;;828484;BKN ;Adju;;828485;>BW> ;Pred;;828486;>L&HMLK ;Cmpl;;;;;;;;;;;;;;;;;
504511;367634;Esther 5:4;link;JBW> ;qal;828562;JBW> ;Pred;;828563;HMLK WHMN ;Subj;;828564;HJWM ;Time;;828565;>L&HM#TH ;Cmpl;;;;;;;;;;;;;;;;;
504516;367660;Esther 5:5;link;JB> ;qal;828576;W;Conj;;828577;JB> ;Pred;;828578;HMLK WHMN ;Subj;;828579;>L&HM#TH ;Cmpl;;;;;;;;;;;;;;;;;
504531;367725;Esther 5:8;link;JBW> ;qal;828618;JBW> ;Pred;;828619;HMLK WHMN ;Subj;;828620;>L&HM#TH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504540;367782;Esther 5:10;link;JBW> ;qal;828653;W;Conj;;828654;JBW> ;Pred;;828655;>L&BJTW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504542;367788;Esther 5:10;link;JB> ;hif;828658;W;Conj;;828659;JB> ;Pred;;828660;>T&>HBJW W>T&ZR# >#TW00;Objc;;;;;;;;;;;;;;;;;;;;;
504547;367828;Esther 5:12;link;HBJ>H ;hif;828676;>P ;Modi;;828677;L>&;Nega;;828678;HBJ>H ;Pred;;828679;>STR HMLKH ;Subj;;828680;<M&HMLK ;Cmpl;;828681;>L&HM#TH ;Adju;;;;;;;;;
