clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
440387;72860;Numbers 5:8;link;MW#B ;hof;647165;H;Rela;;647166;MW#B ;PreC;;;;;;;;;;;;;;;;;;;;;
440838;75716;Numbers 8:25;link;J#WB ;qal;648475;W;Conj;;648476;MBN XM#JM #NH ;Adju;;648477;J#WB ;Pred;;648478;MYB> H<BDH ;Cmpl;;;;;;;;;;;;;
441027;76785;Numbers 10:36;link;#WBH ;qal;649063;#WBH ;Pred;;649065;RBBWT >LPJ J#R>L00;Cmpl;;;;;;;;;;;;;;;;;;;;;
441042;76854;Numbers 11:4;link;J#BW ;qal;649109;W;Conj;;649110;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
441320;78197;Numbers 13:25;link;J#BW ;qal;649951;W;Conj;;649952;J#BW ;Pred;;649955;MQY >RB<JM JWM00;Time;;;;;;;;;;;;;;;;;
441324;78226;Numbers 13:26;link;J#JBW ;hif;649962;W;Conj;;649963;J#JBW ;Pred;;649964;>WTM W>T&KL&H<DH ;Objc;Cmpl;649965;DBR ;Objc;;;;;;;;;;;;;
441373;78481;Numbers 14:3;link;#WB ;qal;650114;#WB ;Pred;;650115;MYRJMH00;Cmpl;;;;;;;;;;;;;;;;;;;;;
441377;78491;Numbers 14:4;link;N#WBH ;qal;650122;W;Conj;;650123;N#WBH ;Pred;;650124;MYRJMH00;Cmpl;;;;;;;;;;;;;;;;;
441496;79129;Numbers 14:36;link;J#BW ;qal;650487;W;Conj;;650488;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
441521;79264;Numbers 14:43;link;#BTM ;qal;650564;KJ&;Conj;;650565;<L&KN ;Adju;;650566;#BTM ;Pred;;650567;M>XRJ JHWH ;Cmpl;;;;;;;;;;;;;
441848;81041;Numbers 17:15;link;J#B ;qal;651562;W;Conj;;651563;J#B ;Pred;;651564;>HRN ;Subj;;651565;>L&M#H ;Cmpl;;651566;>L&PTX >HL MW<D ;Loca;;;;;;;;;
441880;81236;Numbers 17:25;link;H#B ;hif;651675;H#B ;Pred;;651676;>T&MVH >HRN ;Objc;;651677;LPNJ H<DWT ;Cmpl;;651678;LM#MRT L>WT LBNJ&MRJ ;Adju;;;;;;;;;;;;;
441928;81519;Numbers 18:9;link;J#JBW ;hif;651817;>#R ;Rela;;651818;J#JBW ;Pred;;651819;LJ ;Cmpl;;;;;;;;;;;;;;;;;
442374;83978;Numbers 22:8;link;H#BTJ ;hif;653236;W;Conj;;653237;H#BTJ ;Pred;;653238;>TKM ;Objc;Cmpl;653239;DBR ;Objc;;;;;;;;;;;;;
442505;84542;Numbers 22:34;link;>#WBH ;qal;653634;>#WBH ;Pred;;653635;LJ00;Cmpl;;;;;;;;;;;;;;;;;;;;;
442562;84775;Numbers 23:5;link;#WB ;qal;653803;#WB ;Pred;;653804;>L&BLQ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
442564;84782;Numbers 23:6;link;J#B ;qal;653808;W;Conj;;653809;J#B ;Pred;;653810;>LJW ;Cmpl;;;;;;;;;;;;;;;;;
442610;84966;Numbers 23:16;link;#WB ;qal;653947;#WB ;Pred;;653948;>L&BLQ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
442635;85032;Numbers 23:20;link;>#JBNH00;hif;654006;W;Conj;;654007;L> ;Nega;;654008;>#JBNH00;PreO;;;;;;;;;;;;;;;;;
442782;85606;Numbers 24:25;link;J#B ;qal;654414;W;Conj;;654415;J#B ;Pred;;654416;LMQMW ;Cmpl;;;;;;;;;;;;;;;;;
442795;85677;Numbers 25:4;link;J#B ;qal;654459;W;Conj;;654460;J#B ;Pred;;654461;XRWN >P&JHWH ;Subj;;654462;MJ#R>L00;Cmpl;;;;;;;;;;;;;
442812;85800;Numbers 25:11;link;H#JB ;hif;654519;PJNXS BN&>L<ZR BN&>HRN HKHN ;Subj;;654520;H#JB ;Pred;;654521;>T&XMTJ ;Objc;;654522;M<L BNJ&J#R>L ;Cmpl;;;;;;;;;;;;;
443432;90162;Numbers 32:15;link;T#WBN ;qal;656342;KJ ;Conj;;656343;T#WBN ;Pred;;656344;M>XRJW ;Cmpl;;;;;;;;;;;;;;;;;
443444;90223;Numbers 32:18;link;N#WB ;qal;656378;L> ;Nega;;656379;N#WB ;Pred;;656380;>L&BTJNW ;Cmpl;;;;;;;;;;;;;;;;;
443454;90297;Numbers 32:22;link;T#BW ;qal;656420;W;Conj;;656421;>XR ;Time;;656422;T#BW ;Pred;;;;;;;;;;;;;;;;;
443522;90771;Numbers 33:7;link;J#B ;qal;656658;W;Conj;;656659;J#B ;Pred;;656660;<L&PJ HXJRT ;Cmpl;;;;;;;;;;;;;;;;;
443804;92295;Numbers 35:25;link;H#JBW ;hif;657536;W;Conj;;657537;H#JBW ;Pred;;657538;>TW ;Objc;;657539;H<DH ;Subj;;657540;>L&<JR MQLVW ;Cmpl;;;;;;;;;
443814;92375;Numbers 35:28;link;J#WB ;qal;657577;W;Conj;;657578;>XRJ MWT HKHN HGDL ;Time;;657579;J#WB ;Pred;;657580;HRYX ;Subj;;657581;>L&>RY >XZTW00;Cmpl;;;;;;;;;
443826;92437;Numbers 35:32;link;#WB ;qal;657617;L#WB ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
