clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
483378;284555;Ezekiel 39:11;link;* <BRJM ;qal;773009;* >TN ;Pred;;773010;LGWG ;Cmpl;;773011;MQWM&;Objc;;773014;GJ H<BRJM QDMT HJM ;Objc;;;;;;;;;;;;;;;;;
483380;284564;Ezekiel 39:11;link;* <BRJM ;qal;773015;W;Conj;;773016;* XSMT ;PreC;;773017;HJ> ;Subj;;773018;>T&H<BRJM ;Objc;;;;;;;;;;;;;;;;;
483390;284610;Ezekiel 39:14;link;<BRJM ;qal;773045;<BRJM ;PreC;;773046;B>RY ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
483391;284617;Ezekiel 39:14;link;* <BRJM ;qal;773047;* MQBRJM ;PreC;;773048;>T&H<BRJM >T&HNWTRJM <L&PNJ H>RY ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
483394;284633;Ezekiel 39:15;link;<BRW ;qal;773052;W;Conj;;773053;<BRW ;Pred;;773054;H<BRJM ;Subj;;773055;B>RY ;Cmpl;;;;;;;;;;;;;;;;;
484243;289767;Ezekiel 47:5;link;<BR ;qal;775520;L<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484776;292311;Hosea 6:7;link;<BRW ;qal;777031;W;Conj;;777032;HMH ;Subj;;777033;K>DM ;Adju;;777034;<BRW ;Pred;;777035;BRJT ;Objc;;;;;;;;;;;;;
484855;292606;Hosea 8:1;link;<BRW ;qal;777247;J<N ;Conj;;777248;<BRW ;Pred;;777249;BRJTJ ;Objc;;;;;;;;;;;;;;;;;;;;;
485034;293218;Hosea 10:11;link;<BRTJ ;qal;777693;W;Conj;;777694;>NJ ;Subj;;777695;<BRTJ ;Pred;;777696;<L&VWB YW>RH ;Cmpl;;;;;;;;;;;;;;;;;
485558;295294;Joel 4:17;link;J<BRW&;qal;779093;W;Conj;;779094;ZRJM ;Subj;;779095;L>&;Nega;;779096;J<BRW&;Pred;;779097;BH ;Cmpl;;779098;<WD00;Modi;;;;;;;;;
485836;296573;Amos 5:5;link;T<BRW ;qal;779923;W;Conj;;779924;B>R #B< ;Cmpl;;779925;L> ;Nega;;779926;T<BRW ;Pred;;;;;;;;;;;;;;;;;
485890;296785;Amos 5:17;link;><BR ;qal;780078;KJ&;Conj;;780079;><BR ;Pred;;780080;BQRBK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
485928;296948;Amos 6:2;link;<BRW ;qal;780188;<BRW ;Pred;;780189;KLNH ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
486023;297315;Amos 7:8;link;<BWR ;qal;780443;<BWR ;Pred;;780444;LW00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
486075;297531;Amos 8:2;link;<BWR ;qal;780598;<BWR ;Pred;;780599;LW00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
486085;297566;Amos 8:5;link;J<BR ;qal;780619;MTJ ;Ques;;780620;J<BR ;Pred;;780621;HXD# ;Subj;;;;;;;;;;;;;;;;;;;;;
486397;298977;Jonah 2:4;link;<BRW00;qal;781549;KL&M#BRJK WGLJK ;Subj;;781550;<LJ ;Cmpl;;781551;<BRW00;Pred;;;;;;;;;;;;;;;;;;;;;
486571;299715;Micah 1:11;link;<BRJ ;qal;782036;<BRJ ;Pred;;782037;LKM ;Adju;;782039;<RJH&B#T ;Adju;;;;;;;;;;;;;;;;;;;;;
486630;299941;Micah 2:8;link;* <BRJM ;qal;782194;M<BRJM BVX #WBJ MLXMH00;Adju;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486651;300025;Micah 2:13;link;J<BRW ;qal;782242;W;Conj;;782243;J<BRW ;Pred;;782244;#<R ;Objc;;;;;;;;;;;;;;;;;;;;;
486653;300031;Micah 2:13;link;J<BR ;qal;782248;W;Conj;;782249;J<BR ;Pred;;782250;MLKM ;Subj;;782251;LPNJHM ;Cmpl;;;;;;;;;;;;;;;;;
486815;300748;Micah 5:7;link;<BR ;qal;782714;>M ;Conj;;782715;<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
486979;301384;Micah 7:18;link;<BR ;qal;783149;W;Conj;;783150;<BR ;PreC;;783151;<L&P#< ;Cmpl;;783152;L#>RJT NXLTW ;Adju;;;;;;;;;;;;;;;;;
487020;301544;Nahum 1:8;link;* <BR ;qal;783253;W;Conj;;783254;B#VP <BR ;Adju;;783255;KLH ;Objc;;783256;* J<#H ;Pred;;783257;MQWMH ;Objc;;;;;;;;;;;;;
487035;301596;Nahum 1:12;link;<BR ;qal;783299;W;Conj;;783300;<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
487052;301649;Nahum 2:1;link;<BR&;qal;783343;L<BR&;Pred;;783344;BK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
487194;302167;Nahum 3:19;link;<BRH ;qal;783704;KJ ;Conj;;783705;<L&MJ ;Cmpl;;783706;L>&;Nega;;783707;<BRH ;Pred;;783708;R<TK ;Subj;;783709;TMJD00;Time;;;;;;;;;
487242;302340;Habakkuk 1:11;link;J<BR ;qal;783834;W;Conj;;783835;J<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
487411;302918;Habakkuk 3:10;link;<BR ;qal;784259;ZRM MJM ;Subj;;784260;<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
487525;303470;Zephaniah 2:2;link;<BR ;qal;784564;KMY ;Adju;;784565;<BR ;Pred;;784566;JWM ;Subj;;;;;;;;;;;;;;;;;;;;;
487590;303735;Zephaniah 2:15;link;<WBR ;qal;784730;<WBR ;PreC;;784731;<LJH ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
487614;303818;Zephaniah 3:6;link;* <WBR ;qal;784788;* HXRBTJ ;Pred;;784789;XWYWTM ;Objc;;784790;MBLJ <WBR ;Adju;;;;;;;;;;;;;;;;;;;;;
488316;306956;Zechariah 7:14;link;* <BR ;qal;786612;W;Conj;;786613;H>RY ;Subj;;786614;* N#MH ;Pred;;786615;>XRJHM ;Cmpl;;786616;M<BR WM#B ;Adju;;;;;;;;;;;;;
488447;307590;Zechariah 9:8;link;* <BR ;qal;786975;W;Conj;;786976;* XNJTJ ;Pred;;786977;LBJTJ ;Cmpl;;786978;MYBH ;Adju;;786979;M<BR WM#B ;Adju;;;;;;;;;;;;;
488448;307596;Zechariah 9:8;link;J<BR ;qal;786980;W;Conj;;786981;L>&;Nega;;786982;J<BR ;Pred;;786983;<LJHM ;Cmpl;;786984;<WD ;Modi;;786985;NG# ;Subj;;;;;;;;;
488544;307979;Zechariah 10:11;link;<BR ;qal;787248;W;Conj;;787249;<BR ;Pred;;787250;BJM ;Cmpl;;787251;YRH ;Adju;;;;;;;;;;;;;;;;;
489388;311534;Psalms 8:9;link;<BR ;qal;789550;<BR ;PreC;;789551;>RXWT JMJM00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
489685;312507;Psalms 17:3;link;J<BR&;qal;790242;BL&;Nega;;790243;J<BR&;Pred;;790244;PJ00;Subj;;;;;;;;;;;;;;;;;;;;;
489766;312785;Psalms 18:13;link;<BRW ;qal;790430;MNGH NGDW ;Cmpl;;790431;<BJW ;Subj;;790432;<BRW ;Pred;;;;;;;;;;;;;;;;;;;;;
490865;316561;Psalms 37:36;link;J<BR ;qal;793122;W;Conj;;793123;J<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
490890;316647;Psalms 38:5;link;<BRW ;qal;793188;KJ ;Conj;;793189;<WNTJ ;Subj;;793190;<BRW ;Pred;;793191;R>#J ;Objc;;;;;;;;;;;;;;;;;
491136;317418;Psalms 42:5;link;><BR ;qal;793770;KJ ;Conj;;793771;><BR ;Pred;;793772;BSK ;Adju;;;;;;;;;;;;;;;;;;;;;
491147;317474;Psalms 42:8;link;<BRW00;qal;793799;KL&M#BRJK WGLJK ;Subj;;793800;<LJ ;Cmpl;;793801;<BRW00;Pred;;;;;;;;;;;;;;;;;;;;;
491377;318320;Psalms 48:5;link;<BRW ;qal;794357;<BRW ;Pred;;794358;JXDW00;Modi;;;;;;;;;;;;;;;;;;;;;;;;;
491810;319786;Psalms 57:2;link;J<BR ;qal;795421;<D ;Conj;;795422;J<BR ;Pred;;795423;HWWT00;Subj;;;;;;;;;;;;;;;;;;;;;
492191;321002;Psalms 66:6;link;J<BRW ;qal;796267;BNHR ;Cmpl;;796268;J<BRW ;Pred;;796269;BRGL ;Adju;;;;;;;;;;;;;;;;;;;;;
492660;322575;Psalms 73:7;link;<BRW ;qal;797368;<BRW ;Pred;;797369;M#KJWT LBB00;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
493171;324511;Psalms 80:13;link;* <BRJ ;qal;798719;W;Conj;;798720;* >RWH ;PreO;;798721;KL&<BRJ DRK00;Subj;;;;;;;;;;;;;;;;;;;;;
493213;324645;Psalms 81:7;link;T<BRNH00;qal;798803;KPJW ;Subj;;798804;MDWD ;Cmpl;;798805;T<BRNH00;Pred;;;;;;;;;;;;;;;;;;;;;
493332;325061;Psalms 84:7;link;<BRJ ;qal;799082;<BRJ ;PreC;;799083;B<MQ HBK> ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
493524;325690;Psalms 88:17;link;<BRW ;qal;799521;<LJ ;Cmpl;;799522;<BRW ;Pred;;799523;XRWNJK ;Subj;;;;;;;;;;;;;;;;;;;;;
493629;326101;Psalms 89:42;link;* <BRJ ;qal;799810;* #SHW ;PreO;;799811;KL&<BRJ DRK ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
493674;326257;Psalms 90:4;link;J<BR ;qal;799915;KJ ;Conj;;799916;J<BR ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
494200;328144;Psalms 103:16;link;<BRH&;qal;801196;KJ ;Conj;;801197;RWX ;Subj;;801198;<BRH&;Pred;;801199;BW ;Cmpl;;;;;;;;;;;;;;;;;
494243;328300;Psalms 104:9;link;J<BRWN ;qal;801298;BL&;Nega;;801299;J<BRWN ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
495547;332943;Psalms 124:4;link;<BR ;qal;804552;NXLH ;Subj;;804553;<BR ;Pred;;804554;<L&NP#NW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
495548;332947;Psalms 124:5;link;<BR ;qal;804555;>ZJ ;Modi;;804556;<BR ;Pred;;804557;<L&NP#NW ;Cmpl;;804558;HMJM HZJDWNJM00;Subj;;;;;;;;;;;;;;;;;
495643;333308;Psalms 129:8;link;* <BRJM ;qal;804791;W;Conj;;804792;L> ;Nega;;804793;* >MRW ;Pred;;804794;H<BRJM ;Subj;;;;;;;;;;;;;;;;;
496062;334814;Psalms 141:10;link;><BWR00;qal;805814;<D&;Conj;;805815;><BWR00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
496149;335098;Psalms 144:4;link;<WBR00;qal;806024;JMJW ;Subj;;806025;KYL <WBR00;PreC;;;;;;;;;;;;;;;;;;;;;;;;;
